# degree frequency
42 8
27 16
35 11
126 3
68 5
80 4
155 2
92 3
50 5
87 4
24 15
91 3
23 17
175 1
75 6
73 3
108 2
211 1
9 18
82 4
16 11
54 5
57 3
41 7
67 6
127 1
109 3
183 1
116 3
13 14
101 1
58 8
94 4
115 2
70 6
43 11
90 3
28 10
132 1
61 3
59 8
60 5
44 10
77 3
52 7
86 4
85 2
120 1
131 1
7 17
124 3
95 3
102 2
111 1
2 19
98 4
49 5
39 7
45 8
72 6
154 3
118 1
33 11
56 4
66 3
158 1
21 19
15 24
157 1
29 18
12 16
121 1
135 1
47 11
83 2
160 1
18 15
55 9
76 4
53 8
71 4
99 2
10 21
62 7
4 14
141 1
93 1
162 1
100 2
182 1
51 11
213 1
37 8
34 17
19 14
14 18
46 10
20 19
65 6
84 5
22 10
38 8
5 10
25 15
69 4
63 2
32 9
79 3
96 4
3 14
149 1
6 21
81 4
36 8
74 2
110 1
151 1
8 21
26 21
97 1
123 1
31 12
30 7
107 1
11 15
64 4
89 6
1 35
17 18
134 2
138 2
88 2
40 15
313 1
112 1
48 11
136 1
106 2
