k,count,prob
70,1,0.001
72,1,0.001
74,1,0.001
77,2,0.002
78,2,0.002
79,3,0.003
80,7,0.007
81,3,0.003
82,3,0.003
83,11,0.011
84,9,0.009
85,13,0.013
86,18,0.018
87,19,0.019
88,22,0.022
89,24,0.024
90,24,0.024
91,38,0.038
92,37,0.037
93,36,0.036
94,35,0.035
95,29,0.029
96,44,0.044
97,46,0.046
98,30,0.03
99,53,0.053
100,40,0.04
101,41,0.041
102,33,0.033
103,38,0.038
104,40,0.04
105,32,0.032
106,38,0.038
107,32,0.032
108,33,0.033
109,23,0.023
110,15,0.015
111,6,0.006
112,19,0.019
113,13,0.013
114,12,0.012
115,12,0.012
116,9,0.009
117,11,0.011
118,8,0.008
119,8,0.008
120,9,0.009
121,2,0.002
122,3,0.003
124,3,0.003
125,2,0.002
126,4,0.004
128,1,0.001
130,1,0.001
133,1,0.001
